stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
2539.0,10,7,4,5,3,2,5,29,28,31
2540.0,10,5,3,6,4,3,7,28,27,31
2542.0,10,6,3,5,8,6,14,32,30,38
2543.0,4,1,1,7,6,10,16,19,23,29
2545.0,7,3,2,2,2,4,6,16,18,20
2546.0,5,9,7,9,10,10,20,40,40,50
2547.0,8,1,1,1,0,8,8,11,19,19
2548.0,10,7,5,6,9,6,15,37,34,43
2596.0,4,2,2,10,2,4,6,20,22,24
2597.0,6,9,8,2,9,8,17,34,33,42
2601.0,2,0,0,1,0,8,8,3,11,11
2603.0,8,2,2,2,10,8,18,24,22,32
2605.0,6,1,1,6,5,4,9,19,18,23
2606.0,8,4,4,1,7,4,11,24,21,28
2607.0,8,3,4,3,9,5,14,27,23,32
2608.0,7,8,6,1,10,7,17,32,29,39
2609.0,1,0,0,3,10,8,18,14,12,22
2610.0,4,1,1,1,6,9,15,13,16,22
2611.0,0,0,0,4,10,3,13,14,7,17
2612.0,5,3,3,1,7,5,12,19,17,24
2613.0,5,1,1,1,3,8,11,11,16,19
2614.0,0,0,0,1,0,8,8,1,9,9
2615.0,0,6,5,2,0,7,7,13,20,20
2616.0,1,4,5,3,4,10,14,17,23,27
2617.0,10,5,5,2,10,4,14,32,26,36
2618.0,8,1,1,1,10,9,19,21,20,30
2630.0,1,1,1,6,2,7,9,11,16,18
2633.0,10,5,9,1,5,4,9,30,29,34
2634.0,5,4,3,4,6,8,14,22,24,30
2636.0,4,8,8,8,10,9,19,38,37,47
2637.0,8,5,3,1,9,5,14,26,22,31
2640.0,9,9,9,3,7,5,12,37,35,42
2641.0,10,4,3,2,10,3,13,29,22,32
2642.0,2,5,6,2,4,9,13,19,24,28
2643.0,5,9,9,5,9,10,19,37,38,47
2645.0,7,1,1,2,1,5,6,12,16,17
2701.0,10,2,4,5,5,1,6,26,22,27
2702.0,4,0,0,1,10,5,15,15,10,20
2704.0,0,1,1,4,10,2,12,16,8,18
2705.0,0,0,0,1,0,7,7,1,8,8
2706.0,10,2,3,4,4,1,5,23,20,24
2707.0,10,10,9,1,6,3,9,36,33,39
2712.0,7,0,0,4,3,2,5,14,13,16
2718.0,10,0,0,7,10,5,15,27,22,32
2719.0,0,0,0,5,0,3,3,5,8,8
2722.0,8,2,3,6,3,2,5,22,21,24
2723.0,4,5,5,3,6,9,15,23,26,32
2724.0,0,0,0,1,0,1,1,1,2,2
2726.0,0,0,0,1,0,9,9,1,10,10
2727.0,5,2,2,2,8,8,16,19,19,27
2729.0,7,6,5,2,6,7,13,26,27,33
2731.0,3,0,0,5,5,10,15,13,18,23
2732.0,6,6,7,3,7,7,14,29,29,36
2734.0,2,0,0,3,2,9,11,7,14,16
2736.0,0,0,0,1,2,4,6,3,5,7
2739.0,7,0,0,1,7,8,15,15,16,23
2740.0,0,0,0,6,1,1,2,7,7,8
2743.0,5,0,0,9,7,9,16,21,23,30
2745.0,3,0,0,9,8,10,18,20,22,30
2748.0,7,5,3,2,4,3,7,21,20,24
2752.0,8,10,10,3,7,5,12,38,36,43
2753.0,6,10,9,3,7,7,14,35,35,42
2754.0,5,2,2,1,6,8,14,16,18,24
2755.0,5,9,9,3,4,7,11,30,33,37
2756.0,9,10,10,4,7,4,11,40,37,44
2801.0,1,4,1,10,8,3,11,24,19,27
2809.0,1,5,2,10,10,3,13,28,21,31
2812.0,1,6,1,10,9,3,12,27,21,30
2816.0,1,5,3,10,9,9,18,28,28,37
2820.0,1,4,1,10,7,2,9,23,18,25
2823.0,1,7,1,10,1,1,2,20,20,21
2832.0,1,5,4,10,10,7,17,30,27,37
2834.0,1,4,1,10,10,4,14,26,20,30
2836.0,1,4,1,10,7,3,10,23,19,26
2838.0,1,4,1,10,10,4,14,26,20,30
2841.0,0,0,0,2,1,1,2,3,3,4
2845.0,1,5,1,10,10,3,13,27,20,30
2849.0,1,5,1,10,2,3,5,19,20,22
2850.0,1,8,6,10,10,8,18,35,33,43
2851.0,1,6,5,10,10,9,19,32,31,41
2852.0,1,4,3,10,10,9,19,28,27,37
